title,authors,link,pages
Large language models for automated scholarly paper review: A survey,"Zhenzhen Zhuang, Jiandong Chen, Hongfeng Xu, Yuwen Jiang, Jialiang Lin",https://arxiv.org/abs/2501.10326,Unknown
An Ontology for Social Determinants of Education (SDoEd) based on Human-AI Collaborative Approach,"Navya Martin Kollapally, James Geller, Patricia Morreale, Daehan Kwak",https://arxiv.org/abs/2501.10300,Unknown
Temporal Causal Reasoning with (Non-Recursive) Structural Equation Models,"Maksim Gladyshev, Natasha Alechina, Mehdi Dastani, Dragan Doder, Brian Logan",https://arxiv.org/abs/2501.10190,Unknown
Generative Artificial Intelligence: Implications for Biomedical and Health Professions Education,William Hersh,https://arxiv.org/abs/2501.10186,Unknown
CSSDM Ontology to Enable Continuity of Care Data Interoperability,"Subhashis Das, Debashis Naskar, Sara Rodriguez Gonzalez, Pamela Hussey",https://arxiv.org/abs/2501.10160,6 pages
Topology-Driven Attribute Recovery for Attribute Missing Graph Learning in Social Internet of Things,"Mengran Li, Junzhou Chen, Chenyun Yu, Guanying Jiang, Ronghui Zhang, Yanming Shen, Houbing Herbert Song",https://arxiv.org/abs/2501.10151,Unknown
Exploring the Impact of Generative Artificial Intelligence in Education: A Thematic Analysis,"Abhishek Kaushik, Sargam Yadav, Andrew Browne, David Lillis, David Williams, Jack Mc Donnell, Peadar Grant, Siobhan Connolly Kernan, Shubham Sharma, Mansi Arora",https://arxiv.org/abs/2501.10134,Unknown
Infrastructure for AI Agents,"Alan Chan, Kevin Wei, Sihao Huang, Nitarshan Rajkumar, Elija Perrier, Seth Lazar, Gillian K. Hadfield, Markus Anderljung",https://arxiv.org/abs/2501.10114,Unknown
LLM Reasoner and Automated Planner: A new NPC approach,"Israel Puerta-Merino, Jordi Sabater-Mir",https://arxiv.org/abs/2501.10106,15 pages
"A Survey on LLM Test-Time Compute via Search: Tasks, LLM Profiling, Search Algorithms, and Relevant Frameworks",Xinzhe Li,https://arxiv.org/abs/2501.10069,Unknown
AirRAG: Activating Intrinsic Reasoning for Retrieval Augmented Generation via Tree-based Search,"Wenfeng Feng, Chuzhan Hao, Yuewei Zhang, Jingyi Song, Hao Wang",https://arxiv.org/abs/2501.10053,17 pages
Spatiotemporal Prediction of Secondary Crashes by Rebalancing Dynamic and Static Data with Generative Adversarial Networks,"Junlan Chen, Yiqun Li, Chenyu Ling, Ziyuan Pu, Xiucheng Guo",https://arxiv.org/abs/2501.10041,Unknown
Enhancing Crash Frequency Modeling Based on Augmented Multi-Type Data by Hybrid VAE-Diffusion-Based Generative Neural Networks,"Junlan Chen, Qijie He, Pei Liu, Wei Ma, Ziyuan Pu",https://arxiv.org/abs/2501.10017,Unknown
ForestProtector: An IoT Architecture Integrating Machine Vision and Deep Reinforcement Learning for Efficient Wildfire Monitoring,"Kenneth Bonilla-Ormachea, Horacio Cuizaga, Edwin Salcedo, Sebastian Castro, Sergio Fernandez-Testa, Misael Mamani",https://arxiv.org/abs/2501.09926,Unknown
"GenSC-6G: A Prototype Testbed for Integrated Generative AI, Quantum, and Semantic Communication","Brian E. Arfeto, Shehbaz Tariq, Uman Khalid, Trung Q. Duong, Hyundong Shin",https://arxiv.org/abs/2501.09918,Unknown
Towards A Litmus Test for Common Sense,Hugo Latapie,https://arxiv.org/abs/2501.09913,Unknown
Evolving Deeper LLM Thinking,"Kuang-Huei Lee, Ian Fischer, Yueh-Hua Wu, Dave Marwood, Shumeet Baluja, Dale Schuurmans, Xinyun Chen",https://arxiv.org/abs/2501.09891,Unknown
Exploring the Implementation of AI in Early Onset Interviews to Help Mitigate Bias,"Nishka Lal, Omar Benkraouda",https://arxiv.org/abs/2501.09890,Unknown
3rd Workshop on Maritime Computer Vision (MaCVi) 2025: Challenge Results,"Benjamin Kiefer, Lojze Žust, Jon Muhovič, Matej Kristan, Janez Perš, Matija Teršek, Uma Mudenagudi Chaitra Desai, Arnold Wiliem, Marten Kreis, Nikhil Akalwadi, Yitong Quan, Zhiqiang Zhong, Zhe Zhang, Sujie Liu, Xuran Chen, Yang Yang, Matej Fabijanić, Fausto Ferreira, Seongju Lee, Junseok Lee, Kyoobin Lee, Shanliang Yao, Runwei Guan, Xiaoyu Huang, Yi Ni, Himanshu Kumar, Yuan Feng, Yi-Ching Cheng, Tzu-Yu Lin, Chia-Ming Lee, Chih-Chung Hsu, Jannik Sheikh, Andreas Michel, Wolfgang Gross, Martin Weinmann, Josip Šarić, Yipeng Lin, Xiang Yang, Nan Jiang, Yutang Lu, Fei Feng, Ali Awad, Evan Lucas, Ashraf Saleem, Ching-Heng Cheng, Yu-Fan Lin, Tzu-Yu Lin, Chih-Chung Hsu",https://arxiv.org/abs/2501.10343,Unknown
Agent4Edu: Generating Learner Response Data by Generative Agents for Intelligent Education Systems,"Weibo Gao, Qi Liu, Linan Yue, Fangzhou Yao, Rui Lv, Zheng Zhang, Hao Wang, Zhenya Huang",https://arxiv.org/abs/2501.10332,Unknown
"Hierarchical Autoregressive Transformers: Combining Byte-~and Word-Level Processing for Robust, Adaptable Language Models","Pit Neitemeier, Björn Deiseroth, Constantin Eichenberg, Lukas Balles",https://arxiv.org/abs/2501.10322,Unknown
SEANN: A Domain-Informed Neural Network for Epidemiological Insights,"Jean-Baptiste Guimbaud, Marc Plantevit, Léa Maître, Rémy Cazabet",https://arxiv.org/abs/2501.10273,Unknown
Unsupervised Rhythm and Voice Conversion of Dysarthric to Healthy Speech for ASR,"Karl El Hajal, Enno Hermann, Ajinkya Kulkarni, Mathew Magimai.-Doss",https://arxiv.org/abs/2501.10256,Unknown
Random-Key Algorithms for Optimizing Integrated Operating Room Scheduling,"Bruno Salezze Vieira, Eduardo Machado Silva, Antonio Augusto Chaves",https://arxiv.org/abs/2501.10243,38 pages
Challenges and recommendations for Electronic Health Records data extraction and preparation for dynamic prediction modelling in hospitalized patients -- a practical guide,"Elena Albu, Shan Gao, Pieter Stijnen, Frank E. Rademakers, Bas C T van Bussel, Taya Collyer, Tina Hernandez-Boussard, Laure Wynants, Ben Van Calster",https://arxiv.org/abs/2501.10240,Unknown
Good things come in small packages: Should we adopt Lite-GPUs in AI infrastructure?,"Burcu Canakci, Junyi Liu, Xingbo Wu, Nathanaël Cheriere, Paolo Costa, Sergey Legtchenko, Dushyanth Narayanan, Ant Rowstron",https://arxiv.org/abs/2501.10187,5+ pages
A Simple but Effective Closed-form Solution for Extreme Multi-label Learning,"Kazuma Onishi, Katsuhiko Hayashi",https://arxiv.org/abs/2501.10179,10 pages
Region-wise stacking ensembles for estimating brain-age using MRI,"Georgios Antonopoulos, Shammi More, Simon B. Eickhoff, Federico Raimondo, Kaustubh R. Patil",https://arxiv.org/abs/2501.10153,Unknown
Dual Debiasing: Remove Stereotypes and Keep Factual Gender for Fair Language Modeling and Translation,"Tomasz Limisiewicz, David Mareček, Tomáš Musil",https://arxiv.org/abs/2501.10150,Unknown
Enhancing UAV Path Planning Efficiency Through Accelerated Learning,"Joseanne Viana, Boris Galkin, Lester Ho, Holger Claussen",https://arxiv.org/abs/2501.10141,Unknown
Conformal Prediction Sets with Improved Conditional Coverage using Trust Scores,"Jivat Neet Kaur, Michael I. Jordan, Ahmed Alaa",https://arxiv.org/abs/2501.10139,Unknown
Spatio-temporal Graph Learning on Adaptive Mined Key Frames for High-performance Multi-Object Tracking,"Futian Wang, Fengxiang Liu, Xiao Wang",https://arxiv.org/abs/2501.10129,Unknown
BBPOS: BERT-based Part-of-Speech Tagging for Uzbek,"Latofat Bobojonova, Arofat Akhundjanova, Phil Ostheimer, Sophie Fellenz",https://arxiv.org/abs/2501.10107,Unknown
Universal Actions for Enhanced Embodied Foundation Models,"Jinliang Zheng, Jianxiong Li, Dongxiu Liu, Yinan Zheng, Zhihao Wang, Zhonghong Ou, Yu Liu, Jingjing Liu, Ya-Qin Zhang, Xianyuan Zhan",https://arxiv.org/abs/2501.10105,Unknown
Robotic World Model: A Neural Network Simulator for Robust Policy Optimization in Robotics,"Chenhao Li, Andreas Krause, Marco Hutter",https://arxiv.org/abs/2501.10100,Unknown
landmarker: a Toolkit for Anatomical Landmark Localization in 2D/3D Images,"Jef Jonkers, Luc Duchateau, Glenn Van Wallendael, Sofie Van Hoecke",https://arxiv.org/abs/2501.10098,11 pages
How Do Programming Students Use Generative AI?,"Christian Rahe, Walid Maalej",https://arxiv.org/abs/2501.10091,Unknown
Robust Change Captioning in Remote Sensing: SECOND-CC Dataset and MModalCC Framework,"Ali Can Karaca, M. Enes Ozelbas, Saadettin Berber, Orkhan Karimli, Turabi Yildirim, M. Fatih Amasyali",https://arxiv.org/abs/2501.10075,Unknown
SpatialCoT: Advancing Spatial Reasoning through Coordinate Alignment and Chain-of-Thought for Embodied Task Planning,"Yuecheng Liu, Dafeng Chi, Shiguang Wu, Zhanguang Zhang, Yaochen Hu, Lingfeng Zhang, Yingxue Zhang, Shuang Wu, Tongtong Cao, Guowei Huang, Guangjian Tian, Xingyue Quan, Jianye Hao, Yuzheng Zhuang",https://arxiv.org/abs/2501.10074,13 pages
Accelerating Large Language Models through Partially Linear Feed-Forward Network,"Gansen Hu, Zhaoguo Wang, Jinglin Wei, Wei Huang, Haibo Chen",https://arxiv.org/abs/2501.10054,Unknown
Virtual Nodes Improve Long-term Traffic Prediction,"Xiaoyang Cao, Dingyi Zhuang, Jinhua Zhao, Shenhao Wang",https://arxiv.org/abs/2501.10048,Unknown
Automatic Speech Recognition for Sanskrit with Transfer Learning,"Bidit Sadhukhan, Swami Punyeshwarananda",https://arxiv.org/abs/2501.10024,Unknown
Mitigating Hallucinations on Object Attributes using Multiview Images and Negative Instructions,"Zhijie Tan, Yuzhi Li, Shengwei Meng, Xiang Yuan, Weiping Li, Tong Mo, Bingce Wang, Xu Chu",https://arxiv.org/abs/2501.10011,Unknown
Adaptive Spatiotemporal Augmentation for Improving Dynamic Graph Learning,"Xu Chu, Hanlin Xue, Bingce Wang, Xiaoyang Liu, Weiping Li, Tong Mo, Tuoyu Feng, Zhijie Tan",https://arxiv.org/abs/2501.10010,Unknown
Deep Learning for Early Alzheimer Disease Detection with MRI Scans,"Mohammad Rafsan, Tamer Oraby, Upal Roy, Sanjeev Kumar, Hansapani Rodrigo",https://arxiv.org/abs/2501.09999,Unknown
Attention-guided Self-reflection for Zero-shot Hallucination Detection in Large Language Models,"Qiang Liu, Xinlong Chen, Yue Ding, Shizhen Xu, Shu Wu, Liang Wang",https://arxiv.org/abs/2501.09997,Unknown
Fast energy-aware OLSR routing in VANETs by means of a parallel evolutionary algorithm,"Jamal Toutouh, Sergio Nesmachnow, Enrique Alba",https://arxiv.org/abs/2501.09996,Unknown
Multi-Modal Attention Networks for Enhanced Segmentation and Depth Estimation of Subsurface Defects in Pulse Thermography,"Mohammed Salah, Naoufel Werghi, Davor Svetinovic, Yusra Abdulrahman",https://arxiv.org/abs/2501.09994,Unknown
RichSpace: Enriching Text-to-Video Prompt Space via Text Embedding Interpolation,"Yuefan Cao, Chengyue Gong, Xiaoyu Li, Yingyu Liang, Zhizhou Sha, Zhenmei Shi, Zhao Song",https://arxiv.org/abs/2501.09982,Unknown
Aneumo: A Large-Scale Comprehensive Synthetic Dataset of Aneurysm Hemodynamics,"Xigui Li, Yuanye Zhou, Feiyang Xiao, Xin Guo, Yichi Zhang, Chen Jiang, Jianchao Ge, Xiansheng Wang, Qimeng Wang, Taiwei Zhang, Chensen Lin, Yuan Cheng, Yuan Qi",https://arxiv.org/abs/2501.09980,Unknown
